"data_id","age","language","form","birth_order","ethnicity","sex","mom_ed","measure","vocab","demo","n","demo_label"
188,21,"English","WS","Third","Other","Male","Secondary","production",73,"All Data",5498,"All Data (n = 5498)"
189,25,"English","WS","Second","Hispanic","Male","Secondary","production",138,"All Data",5498,"All Data (n = 5498)"
190,29,"English","WS","Third","White","Male","Secondary","production",496,"All Data",5498,"All Data (n = 5498)"
191,24,"English","WS","Second","Other","Female","College","production",92,"All Data",5498,"All Data (n = 5498)"
192,18,"English","WS","Third","White","Female","Some College","production",59,"All Data",5498,"All Data (n = 5498)"
193,20,"English","WS","Second","Black","Male","Some College","production",156,"All Data",5498,"All Data (n = 5498)"
194,27,"English","WS","Second","White","Female","Some College","production",570,"All Data",5498,"All Data (n = 5498)"
195,28,"English","WS","Fourth","Black","Male","Secondary","production",350,"All Data",5498,"All Data (n = 5498)"
196,22,"English","WS","Second","White","Male","Some Secondary","production",28,"All Data",5498,"All Data (n = 5498)"
197,29,"English","WS","Third","Other","Male","Secondary","production",315,"All Data",5498,"All Data (n = 5498)"
198,25,"English","WS","Third","Hispanic","Male","Secondary","production",41,"All Data",5498,"All Data (n = 5498)"
199,26,"English","WS","Second","Other","Female","Some Secondary","production",502,"All Data",5498,"All Data (n = 5498)"
200,25,"English","WS","Third","White","Female","Secondary","production",415,"All Data",5498,"All Data (n = 5498)"
201,21,"English","WS","Second","White","Male","Secondary","production",68,"All Data",5498,"All Data (n = 5498)"
202,23,"English","WS","Second","White","Female","Secondary","production",109,"All Data",5498,"All Data (n = 5498)"
203,17,"English","WS","Second","Hispanic","Male","Some Secondary","production",17,"All Data",5498,"All Data (n = 5498)"
204,23,"English","WS","Second","Other","Male","College","production",145,"All Data",5498,"All Data (n = 5498)"
205,21,"English","WS","Third","White","Male","Some College","production",86,"All Data",5498,"All Data (n = 5498)"
206,21,"English","WS","Third","Other","Male","Some College","production",151,"All Data",5498,"All Data (n = 5498)"
207,21,"English","WS","Second","Other","Female","Some Secondary","production",160,"All Data",5498,"All Data (n = 5498)"
208,27,"English","WS","Third","Other","Female","Some College","production",584,"All Data",5498,"All Data (n = 5498)"
209,26,"English","WS","Third","Other","Female","Some Secondary","production",466,"All Data",5498,"All Data (n = 5498)"
210,24,"English","WS","Second","Other","Male","Some College","production",148,"All Data",5498,"All Data (n = 5498)"
211,20,"English","WS","Third","White","Female","Some College","production",219,"All Data",5498,"All Data (n = 5498)"
212,28,"English","WS","Fourth","Hispanic","Male","Some Secondary","production",540,"All Data",5498,"All Data (n = 5498)"
213,23,"English","WS","Fourth","Black","Male","Secondary","production",160,"All Data",5498,"All Data (n = 5498)"
214,20,"English","WS","Third","Other","Male","Some Secondary","production",23,"All Data",5498,"All Data (n = 5498)"
215,26,"English","WS","Second","White","Male","Secondary","production",247,"All Data",5498,"All Data (n = 5498)"
216,30,"English","WS","Third","Hispanic","Male","Some College","production",117,"All Data",5498,"All Data (n = 5498)"
217,28,"English","WS","Sixth","White","Female","Some Secondary","production",387,"All Data",5498,"All Data (n = 5498)"
218,29,"English","WS","Fourth","Black","Male","Some College","production",375,"All Data",5498,"All Data (n = 5498)"
219,25,"English","WS","Fourth","Other","Male","Secondary","production",564,"All Data",5498,"All Data (n = 5498)"
220,27,"English","WS","Sixth","White","Male","Some College","production",300,"All Data",5498,"All Data (n = 5498)"
221,19,"English","WS","Second","Other","Female","Secondary","production",111,"All Data",5498,"All Data (n = 5498)"
222,25,"English","WS","Second","Other","Male","Secondary","production",178,"All Data",5498,"All Data (n = 5498)"
223,22,"English","WS","Second","White","Female","Some Secondary","production",44,"All Data",5498,"All Data (n = 5498)"
224,20,"English","WS","Second","Hispanic","Male","Some Graduate","production",296,"All Data",5498,"All Data (n = 5498)"
225,26,"English","WS","Third","White","Male","Some Secondary","production",183,"All Data",5498,"All Data (n = 5498)"
226,30,"English","WS","Second","White","Female","Some College","production",451,"All Data",5498,"All Data (n = 5498)"
227,22,"English","WS","Second","Other","Female","Some College","production",385,"All Data",5498,"All Data (n = 5498)"
228,23,"English","WS","Fourth","White","Female","Some Secondary","production",169,"All Data",5498,"All Data (n = 5498)"
229,25,"English","WS","Third","Black","Female","Some College","production",551,"All Data",5498,"All Data (n = 5498)"
230,22,"English","WS","Second","White","Female","Secondary","production",49,"All Data",5498,"All Data (n = 5498)"
231,27,"English","WS","Fifth","Black","Male","Secondary","production",262,"All Data",5498,"All Data (n = 5498)"
232,18,"English","WS","Third","Black","Male","Secondary","production",23,"All Data",5498,"All Data (n = 5498)"
233,20,"English","WS","Third","Hispanic","Male","Some Secondary","production",4,"All Data",5498,"All Data (n = 5498)"
234,18,"English","WS","Third","Other","Male","Some Secondary","production",99,"All Data",5498,"All Data (n = 5498)"
235,20,"English","WS","Third","Hispanic","Male","Some College","production",104,"All Data",5498,"All Data (n = 5498)"
236,23,"English","WS","Third","White","Male","Secondary","production",259,"All Data",5498,"All Data (n = 5498)"
237,20,"English","WS","Second","White","Female","Some Secondary","production",20,"All Data",5498,"All Data (n = 5498)"
238,26,"English","WS","Second","White","Male","Secondary","production",131,"All Data",5498,"All Data (n = 5498)"
239,27,"English","WS","Fourth","White","Male","Secondary","production",503,"All Data",5498,"All Data (n = 5498)"
240,27,"English","WS","First","White","Female","Secondary","production",522,"All Data",5498,"All Data (n = 5498)"
241,26,"English","WS","Fourth","White","Female","Secondary","production",547,"All Data",5498,"All Data (n = 5498)"
242,21,"English","WS","Third","White","Male","Secondary","production",476,"All Data",5498,"All Data (n = 5498)"
243,28,"English","WS","First","White","Female","Secondary","production",451,"All Data",5498,"All Data (n = 5498)"
244,26,"English","WS","Third","White","Male","Secondary","production",47,"All Data",5498,"All Data (n = 5498)"
245,26,"English","WS","Second","White","Male","Secondary","production",570,"All Data",5498,"All Data (n = 5498)"
